"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.18623792601219,0.504839489217673,-4.33056045080805,0.000247014279195038
"tons_cfc11_equiv",6.51875775576698e-06,1.43332068307759e-06,4.5480106669291,0.000143602775653108
"tons_cfc_sq",-2.73681989914636e-12,8.24930211118361e-13,-3.31763810108984,0.00300000949301256
